id,page_url,title,direct_url,mime,duration_sec,license_short_name,usage_terms
vdcr_commons_mr30_000001,https://commons.wikimedia.org/wiki/File:Plein_de_bulles_entier_grand.gif,File:Plein de bulles entier grand.gif,https://upload.wikimedia.org/wikipedia/commons/7/78/Plein_de_bulles_entier_grand.gif,,,,
vdcr_commons_mr30_000002,https://commons.wikimedia.org/wiki/File:Altering-the-coffee-ring-effect-by-adding-a-surfactant-like-viscous-polymer-solution-41598_2017_497_MOESM3_ESM.ogv,File:Altering-the-coffee-ring-effect-by-adding-a-surfactant-like-viscous-polymer-solution-41598 2017 497 MOESM3 ESM.ogv,https://upload.wikimedia.org/wikipedia/commons/d/d9/Altering-the-coffee-ring-effect-by-adding-a-surfactant-like-viscous-polymer-solution-41598_2017_497_MOESM3_ESM.ogv,video/ogg,,,
vdcr_commons_mr30_000003,https://commons.wikimedia.org/wiki/File:A-reversible-dendrite-free-high-areal-capacity-lithium-metal-electrode-ncomms15106-s2.ogv,File:A-reversible-dendrite-free-high-areal-capacity-lithium-metal-electrode-ncomms15106-s2.ogv,https://upload.wikimedia.org/wikipedia/commons/3/3b/A-reversible-dendrite-free-high-areal-capacity-lithium-metal-electrode-ncomms15106-s2.ogv,video/ogg,,,
vdcr_commons_mr30_000004,https://commons.wikimedia.org/wiki/File:Synucleins-Antagonize-Endoplasmic-Reticulum-Function-to-Modulate-Dopamine-Transporter-Trafficking-pone.0070872.s008.ogv,File:Synucleins-Antagonize-Endoplasmic-Reticulum-Function-to-Modulate-Dopamine-Transporter-Trafficking-pone.0070872.s008.ogv,https://upload.wikimedia.org/wikipedia/commons/f/fc/Synucleins-Antagonize-Endoplasmic-Reticulum-Function-to-Modulate-Dopamine-Transporter-Trafficking-pone.0070872.s008.ogv,video/ogg,,,
vdcr_commons_mr30_000005,https://commons.wikimedia.org/wiki/File:Wildfire_spread_abruptly_changes_after_front_passage_(CIRA_2022-04-06).webm,File:Wildfire spread abruptly changes after front passage (CIRA 2022-04-06).webm,https://upload.wikimedia.org/wikipedia/commons/3/3c/Wildfire_spread_abruptly_changes_after_front_passage_(CIRA_2022-04-06).webm,video/webm,,,
