id,video_path,duration_sec,first,middle,last,sparse,contact_sheet,error
vdcr_commons_mr5_000003,media/vdcr_commons_manual_round5_v1/vdcr_commons_mr5_000003.webm,7.513,ok,ok,ok,8,ok,
vdcr_commons_mr6_000001,media/vdcr_commons_manual_round6_v1/vdcr_commons_mr6_000001.ogv,23.760,ok,ok,ok,8,ok,
vdcr_commons_mr6_000002,media/vdcr_commons_manual_round6_v1/vdcr_commons_mr6_000002.ogv,7.133,ok,ok,ok,8,ok,
vdcr_commons_mr6_000003,media/vdcr_commons_manual_round6_v1/vdcr_commons_mr6_000003.webm,32.167,ok,ok,ok,8,ok,
vdcr_commons_mr7_000001,media/vdcr_commons_manual_round7_v1/vdcr_commons_mr7_000001.ogv,12.800,ok,ok,ok,8,ok,
vdcr_commons_mr7_000002,media/vdcr_commons_manual_round7_v1/vdcr_commons_mr7_000002.webm,14.440,ok,ok,ok,8,ok,
vdcr_commons_mr7_000003,media/vdcr_commons_manual_round7_v1/vdcr_commons_mr7_000003.gif,12.600,ok,ok,ok,8,ok,
vdcr_commons_mr8_000001,media/vdcr_commons_manual_round8_v1/vdcr_commons_mr8_000001.webm,25.017,ok,ok,ok,8,ok,
vdcr_commons_mr8_000002,media/vdcr_commons_manual_round8_v1/vdcr_commons_mr8_000002.ogv,4.583,ok,ok,ok,8,ok,
vdcr_commons_mr8_000003,media/vdcr_commons_manual_round8_v1/vdcr_commons_mr8_000003.gif,5.600,ok,ok,ok,8,ok,
vdcr_commons_mr9_000001,media/vdcr_commons_manual_round9_v1/vdcr_commons_mr9_000001.ogv,8.267,ok,ok,ok,8,ok,
vdcr_commons_mr9_000002,media/vdcr_commons_manual_round9_v1/vdcr_commons_mr9_000002.ogv,35.633,ok,ok,ok,8,ok,
vdcr_commons_mr9_000003,media/vdcr_commons_manual_round9_v1/vdcr_commons_mr9_000003.webm,11.740,ok,ok,ok,8,ok,
vdcr_commons_mr9_000004,media/vdcr_commons_manual_round9_v1/vdcr_commons_mr9_000004.webm,42.988,ok,ok,ok,8,ok,
vdcr_commons_mr9_000005,media/vdcr_commons_manual_round9_v1/vdcr_commons_mr9_000005.ogv,12.000,ok,ok,ok,8,ok,
vdcr_commons_mr9_000006,media/vdcr_commons_manual_round9_v1/vdcr_commons_mr9_000006.ogv,13.300,ok,ok,ok,8,ok,
vdcr_commons_mr10_000001,media/vdcr_commons_manual_round10_v1/vdcr_commons_mr10_000001.webm,24.472,ok,ok,ok,8,ok,
vdcr_commons_mr10_000002,media/vdcr_commons_manual_round10_v1/vdcr_commons_mr10_000002.gif,2.500,ok,ok,missing,6,ok,partial_frame_extraction
vdcr_commons_mr10_000003,media/vdcr_commons_manual_round10_v1/vdcr_commons_mr10_000003.ogv,29.095,ok,ok,ok,8,ok,
vdcr_commons_mr10_000004,media/vdcr_commons_manual_round10_v1/vdcr_commons_mr10_000004.ogv,46.360,ok,ok,ok,8,ok,
vdcr_commons_mr10_000005,media/vdcr_commons_manual_round10_v1/vdcr_commons_mr10_000005.ogv,15.067,ok,ok,ok,8,ok,
