id,ok,status,error,direct_url,local_media
vdcr_commons_mr35_000001,true,download_ok,,https://upload.wikimedia.org/wikipedia/commons/6/66/Explosive_Growth_of_the_Ranger_Road_Fire_(CIRA_2026-02-18_-_nolabels).webm,media/vdcr_commons_manual_round35_v1/vdcr_commons_mr35_000001.webm
vdcr_commons_mr35_000002,true,download_ok,,https://upload.wikimedia.org/wikipedia/commons/d/dd/High-Resolution_Rapid_Expansion_of_Texas%E2%80%99s_Largest_Wildfire_(CIRA_2024-02-28_-_nolabels).webm,media/vdcr_commons_manual_round35_v1/vdcr_commons_mr35_000002.webm
vdcr_commons_mr35_000003,true,download_ok,,https://upload.wikimedia.org/wikipedia/commons/0/0b/Soufriere_Hills_Volcano_dome_collapse.gif,media/vdcr_commons_manual_round35_v1/vdcr_commons_mr35_000003.gif
