id,page_url,title,direct_url,mime,duration_sec,license_short_name,usage_terms
vdcr_commons_mr13_000001,https://commons.wikimedia.org/wiki/File:Cavitation_in_a_gear_pump.ogv,Cavitation in a gear pump.ogv,https://upload.wikimedia.org/wikipedia/commons/6/67/Cavitation_in_a_gear_pump.ogv,video/ogg,56,CC0,Commons own-work transparent gear-pump cavitation video
vdcr_commons_mr13_000002,https://commons.wikimedia.org/wiki/File:Assembly_of_microscale_beads_on_Faraday_waves.gif,Assembly of microscale beads on Faraday waves.gif,https://upload.wikimedia.org/wikipedia/commons/4/40/Assembly_of_microscale_beads_on_Faraday_waves.gif,image/gif,0,CC BY-SA 3.0,Commons Faraday-wave bead assembly GIF
vdcr_commons_mr13_000003,https://commons.wikimedia.org/wiki/File:Chemical_traffic_light_reaction_time-lapse.webm,Chemical traffic light reaction time-lapse.webm,https://upload.wikimedia.org/wikipedia/commons/0/00/Chemical_traffic_light_reaction_time-lapse.webm,video/webm,56.6,CC BY-SA 4.0/GFDL,Commons own-work chemical traffic light reaction time-lapse
vdcr_commons_mr13_000004,https://commons.wikimedia.org/wiki/File:A-reversible-dendrite-free-high-areal-capacity-lithium-metal-electrode-ncomms15106-s5.ogv,Lithium metal electrodeposition supplementary movie s5.ogv,https://upload.wikimedia.org/wikipedia/commons/6/65/A-reversible-dendrite-free-high-areal-capacity-lithium-metal-electrode-ncomms15106-s5.ogv,video/ogg,91,CC BY 4.0,Commons/Nature Communications in-situ electrodeposition movie
vdcr_commons_mr13_000005,https://commons.wikimedia.org/wiki/File:HD-Rayleigh-Taylor.gif,HD-Rayleigh-Taylor.gif,https://upload.wikimedia.org/wikipedia/commons/d/d6/HD-Rayleigh-Taylor.gif,image/gif,0.1,Public domain USGov,Commons hydrodynamic Rayleigh-Taylor simulation GIF
vdcr_commons_mr13_000006,https://commons.wikimedia.org/wiki/File:Compactification.ogg,Compactification.ogg,https://upload.wikimedia.org/wikipedia/commons/8/85/Compactification.ogg,video/ogg,26,CC0,Commons cavitation-collapse animation
